customer_id,signup_date,city,state,segment
C00129,2024-02-03,Mumbai,Maharashtra,Budget
C00130,2022-11-26,Hyderabad,Telangana,Budget
C00131,2023-04-04,Bangalore,Karnataka,Value
C00132,2023-06-09,Delhi,Delhi,Premium
C00133,2023-08-29,Mumbai,Maharashtra,Value
C00134,2023-10-19,Delhi,Delhi,Value
C00135,2022-12-23,Lucknow,Uttar Pradesh,Budget
C00136,2023-06-24,Delhi,Delhi,Budget
C00137,2022-12-28,Hyderabad,Telangana,Value
C00138,2023-12-23,Pune,Maharashtra,Premium
C00139,2023-01-26,Bangalore,Karnataka,Budget
C00140,2023-06-16,Chandigarh,Punjab,Premium
C00141,2023-04-23,Chandigarh,Punjab,Budget
C00142,2024-02-18,Delhi,Delhi,Value
C00143,2024-01-05,Hyderabad,Telangana,Value
C00144,2023-11-24,Delhi,Delhi,Premium
C00145,2023-11-23,Delhi,Delhi,Budget
C00146,2022-12-29,Mumbai,Maharashtra,Budget
C00147,2022-12-24,Chennai,Tamil Nadu,Budget
C00148,2023-08-24,Hyderabad,Telangana,Premium
C00149,2023-09-11,Mumbai,Maharashtra,Budget
C00150,2022-09-11,Delhi,Delhi,Budget
C00151,2023-01-15,Jaipur,Rajasthan,Value
C00152,2024-01-27,Delhi,Delhi,Value
C00153,2023-04-07,Mumbai,Maharashtra,Premium
C00154,2024-06-29,Hyderabad,Telangana,Premium
C00155,2023-12-14,Kochi,Kerala,Value
C00156,2023-06-09,Delhi,Delhi,Premium
C00157,2023-08-14,Pune,Maharashtra,Value
C00158,2023-07-23,Kolkata,West Bengal,Budget
C00159,2023-05-13,Delhi,Delhi,Premium
C00160,2024-03-27,Pune,Maharashtra,Value
C00161,2022-10-20,Bangalore,Karnataka,Value
C00162,2023-01-08,Chennai,Tamil Nadu,Value
C00163,2023-07-09,Chennai,Tamil Nadu,Value
C00164,2024-03-15,Hyderabad,Telangana,Budget
C00165,2023-04-09,Mumbai,Maharashtra,Value
C00166,2023-01-26,Ahmedabad,Gujarat,Premium
C00167,2024-03-29,Delhi,Delhi,Value
C00168,2024-02-21,Delhi,Delhi,Budget
C00169,2022-11-05,Mumbai,Maharashtra,Premium
C00170,2022-12-14,Chennai,Tamil Nadu,Budget
C00171,2023-11-03,Pune,Maharashtra,Budget
C00172,2023-06-21,Mumbai,Maharashtra,Budget
C00173,2023-12-20,Hyderabad,Telangana,Budget
C00174,2023-10-18,Delhi,Delhi,Value
C00175,2023-09-02,Chennai,Tamil Nadu,Value
C00176,2023-02-17,Mumbai,Maharashtra,Premium
C00177,2022-11-30,Pune,Maharashtra,Premium
C00178,2023-12-25,Bangalore,Karnataka,Premium
C00179,2022-10-01,Lucknow,Uttar Pradesh,Value
C00180,2023-07-29,Mumbai,Maharashtra,Value
C00181,2024-06-13,Bangalore,Karnataka,Premium
C00182,2022-08-18,Mumbai,Maharashtra,Value
C00183,2023-05-14,Lucknow,Uttar Pradesh,Value
C00184,2024-05-01,Jaipur,Rajasthan,Value
C00185,2024-04-26,Delhi,Delhi,Budget
C00186,2022-07-10,Chennai,Tamil Nadu,Value
C00187,2024-01-09,Kolkata,West Bengal,Value
C00188,2023-06-17,Hyderabad,Telangana,Value
C00189,2023-01-30,Hyderabad,Telangana,Budget
C00190,2023-11-12,Delhi,Delhi,Value
C00191,2022-07-22,Mumbai,Maharashtra,Premium
C00192,2023-01-15,Jaipur,Rajasthan,Premium
C00193,2023-07-18,Jaipur,Rajasthan,Budget
C00194,2024-02-28,Chennai,Tamil Nadu,Budget
C00195,2022-11-25,Delhi,Delhi,Value
C00196,2022-08-04,Bangalore,Karnataka,Value
C00197,2024-05-25,Pune,Maharashtra,Budget
C00198,2023-10-28,Jaipur,Rajasthan,Budget
C00199,2022-11-22,Jaipur,Rajasthan,Premium
C00200,2024-02-12,Kolkata,West Bengal,Value
C00201,2024-03-27,Chennai,Tamil Nadu,Value
C00202,2022-09-16,Mumbai,Maharashtra,Value
C00203,2022-11-18,Mumbai,Maharashtra,Value
C00204,2023-10-20,Jaipur,Rajasthan,Budget
C00205,2023-07-14,Chennai,Tamil Nadu,Value
C00206,2023-03-15,Mumbai,Maharashtra,Budget
C00207,2023-01-22,Mumbai,Maharashtra,Value
C00208,2023-06-30,Chennai,Tamil Nadu,Budget
C00209,2023-01-14,Mumbai,Maharashtra,Value
C00210,2023-10-11,Mumbai,Maharashtra,Value
C00211,2022-08-30,Hyderabad,Telangana,Budget
C00212,2023-09-01,Pune,Maharashtra,Budget
C00213,2022-11-02,Chennai,Tamil Nadu,Budget
C00214,2023-04-30,Delhi,Delhi,Value
C00215,2023-09-18,Pune,Maharashtra,Budget
C00216,2023-09-13,Delhi,Delhi,Budget
C00217,2024-05-26,Delhi,Delhi,Value
C00218,2022-08-27,Pune,Maharashtra,Value
C00219,2023-09-05,Chennai,Tamil Nadu,Budget
C00220,2024-02-17,Ahmedabad,Gujarat,Value
C00221,2023-03-02,Chennai,Tamil Nadu,Premium
C00222,2023-11-04,Hyderabad,Telangana,Premium
C00223,2024-01-09,Mumbai,Maharashtra,Budget
C00224,2022-10-11,Bangalore,Karnataka,Premium
C00225,2023-07-30,Delhi,Delhi,Value
C00226,2023-07-09,Delhi,Delhi,Premium
C00227,2023-10-19,Chandigarh,Punjab,Value
C00228,2023-04-07,Bangalore,Karnataka,Value
C00229,2023-11-27,Jaipur,Rajasthan,Value
C00230,2023-12-12,Chennai,Tamil Nadu,Value
C00231,2022-09-16,Kolkata,West Bengal,Value
C00232,2023-10-21,Hyderabad,Telangana,Budget
C00233,2024-03-28,Hyderabad,Telangana,Budget
C00234,2022-07-14,Hyderabad,Telangana,Value
C00235,2023-07-20,Delhi,Delhi,Premium
C00236,2022-11-11,Pune,Maharashtra,Value
C00237,2024-02-22,Delhi,Delhi,Value
C00238,2022-10-14,Mumbai,Maharashtra,Value
C00239,2023-09-18,Chennai,Tamil Nadu,Budget
C00240,2022-09-11,Mumbai,Maharashtra,Budget
C00241,2024-05-07,Lucknow,Uttar Pradesh,Value
C00242,2023-08-03,Chandigarh,Punjab,Premium
C00243,2022-10-30,Lucknow,Uttar Pradesh,Budget
C00244,2022-12-08,Bangalore,Karnataka,Value
C00245,2023-12-31,Mumbai,Maharashtra,Budget
C00246,2022-08-15,Lucknow,Uttar Pradesh,Budget
C00247,2022-09-07,Bangalore,Karnataka,Budget
C00248,2024-06-28,Chandigarh,Punjab,Value
C00249,2022-11-22,Chandigarh,Punjab,Budget
C00250,2023-04-24,Ahmedabad,Gujarat,Budget
C00251,2023-02-05,Delhi,Delhi,Value
C00252,2023-06-04,Bangalore,Karnataka,Premium
C00253,2024-01-20,Ahmedabad,Gujarat,Budget
C00254,2023-06-20,Delhi,Delhi,Value
C00255,2024-05-15,Mumbai,Maharashtra,Budget
C00256,2023-01-19,Hyderabad,Telangana,Premium
C00257,2022-11-09,Lucknow,Uttar Pradesh,Value
C00258,2023-08-05,Pune,Maharashtra,Premium
C00259,2024-01-28,Hyderabad,Telangana,Budget
C00260,2022-08-09,Mumbai,Maharashtra,Value
C00261,2023-02-19,Chennai,Tamil Nadu,Value
C00262,2024-06-23,Kochi,Kerala,Budget
C00263,2024-02-01,Mumbai,Maharashtra,Budget
C00264,2022-09-11,Hyderabad,Telangana,Value
C00265,2023-03-16,Jaipur,Rajasthan,Value
C00266,2024-06-05,Pune,Maharashtra,Budget
C00267,2022-10-28,Pune,Maharashtra,Value
C00268,2023-12-16,Pune,Maharashtra,Budget
C00269,2024-04-10,Bangalore,Karnataka,Budget
C00270,2024-05-09,Delhi,Delhi,Value
C00271,2022-11-16,Kolkata,West Bengal,Budget
C00272,2024-02-10,Kolkata,West Bengal,Value
C00273,2023-10-23,Ahmedabad,Gujarat,Budget
C00274,2024-03-27,Lucknow,Uttar Pradesh,Value
C00275,2023-04-24,Hyderabad,Telangana,Value
C00276,2023-04-06,Hyderabad,Telangana,Premium
C00277,2022-12-28,Kolkata,West Bengal,Budget
C00278,2023-11-16,Chennai,Tamil Nadu,Value
C00279,2023-12-18,Pune,Maharashtra,Budget
C00280,2023-03-05,Kolkata,West Bengal,Value
C00281,2024-01-13,Jaipur,Rajasthan,Value
C00282,2023-02-04,Delhi,Delhi,Budget
C00283,2023-09-20,Bangalore,Karnataka,Value
C00284,2023-02-21,Mumbai,Maharashtra,Budget
C00285,2023-03-31,Hyderabad,Telangana,Budget
C00286,2022-12-16,Mumbai,Maharashtra,Budget
C00287,2022-10-26,Bangalore,Karnataka,Value
C00288,2024-05-30,Hyderabad,Telangana,Value
C00289,2023-01-26,Delhi,Delhi,Budget
C00290,2023-06-18,Chennai,Tamil Nadu,Value
C00291,2022-11-22,Mumbai,Maharashtra,Budget
C00292,2024-05-09,Mumbai,Maharashtra,Budget
C00293,2023-08-06,Ahmedabad,Gujarat,Value
C00294,2024-03-27,Bangalore,Karnataka,Value
C00295,2023-02-13,Mumbai,Maharashtra,Budget
C00296,2024-02-05,Hyderabad,Telangana,Budget
C00297,2023-02-01,Kolkata,West Bengal,Premium
C00298,2023-02-23,Delhi,Delhi,Budget
C00299,2023-09-26,Chennai,Tamil Nadu,Budget
C00300,2023-05-13,Mumbai,Maharashtra,Value
C00301,2023-09-19,Mumbai,Maharashtra,Value
C00302,2024-03-18,Hyderabad,Telangana,Value
C00303,2022-12-24,Hyderabad,Telangana,Premium
C00304,2023-12-09,Chennai,Tamil Nadu,Budget
C00305,2024-03-06,Pune,Maharashtra,Value
C00306,2023-03-10,Chandigarh,Punjab,Budget
C00307,2022-08-12,Hyderabad,Telangana,Value
C00308,2023-06-27,Delhi,Delhi,Premium
C00309,2023-11-17,Kolkata,West Bengal,Value
C00310,2023-09-25,Delhi,Delhi,Value
C00311,2023-04-24,Bangalore,Karnataka,Premium
C00312,2024-03-07,Mumbai,Maharashtra,Budget
C00313,2022-09-17,Mumbai,Maharashtra,Value
C00314,2022-11-26,Chandigarh,Punjab,Premium
C00315,2023-01-08,Ahmedabad,Gujarat,Value
C00316,2024-06-07,Pune,Maharashtra,Budget
C00317,2024-04-06,Bangalore,Karnataka,Budget
C00318,2023-12-28,Mumbai,Maharashtra,Budget
C00319,2022-10-29,Mumbai,Maharashtra,Budget
C00320,2023-10-21,Delhi,Delhi,Value
C00321,2023-06-02,Hyderabad,Telangana,Budget
C00322,2024-01-06,Pune,Maharashtra,Budget
C00323,2024-02-13,Chennai,Tamil Nadu,Value
C00324,2024-04-11,Delhi,Delhi,Value
C00325,2023-04-27,Chandigarh,Punjab,Value
C00326,2023-01-18,Pune,Maharashtra,Value
C00327,2023-06-30,Hyderabad,Telangana,Budget
C00328,2024-05-10,Chennai,Tamil Nadu,Budget
C00329,2023-01-02,Bangalore,Karnataka,Budget
C00330,2023-06-29,Delhi,Delhi,Value
C00331,2022-09-04,Bangalore,Karnataka,Budget
C00332,2022-12-01,Kolkata,West Bengal,Value
C00333,2024-05-12,Mumbai,Maharashtra,Budget
C00334,2023-07-07,Mumbai,Maharashtra,Premium
C00335,2024-05-20,Mumbai,Maharashtra,Value
C00336,2023-01-02,Mumbai,Maharashtra,Value
C00337,2023-01-22,Ahmedabad,Gujarat,Value
C00338,2022-09-15,Pune,Maharashtra,Value
C00339,2024-04-24,Bangalore,Karnataka,Value
C00340,2022-07-22,Mumbai,Maharashtra,Premium
C00341,2024-04-08,Hyderabad,Telangana,Value
C00342,2024-01-15,Bangalore,Karnataka,Premium
C00343,2022-07-28,Mumbai,Maharashtra,Budget
C00344,2024-06-02,Bangalore,Karnataka,Premium
C00345,2024-02-06,Bangalore,Karnataka,Budget
C00346,2024-04-05,Chennai,Tamil Nadu,Budget
C00347,2023-09-04,Chennai,Tamil Nadu,Value
C00348,2022-11-19,Mumbai,Maharashtra,Budget
C00349,2024-06-08,Bangalore,Karnataka,Budget
C00350,2023-05-09,Chennai,Tamil Nadu,Budget
C00351,2024-01-07,Hyderabad,Telangana,Value
C00352,2023-12-28,Ahmedabad,Gujarat,Premium
C00353,2023-12-01,Chennai,Tamil Nadu,Value
C00354,2023-09-11,Mumbai,Maharashtra,Premium
C00355,2022-08-14,Mumbai,Maharashtra,Value
C00356,2022-11-18,Chennai,Tamil Nadu,Budget
C00357,2022-11-17,Mumbai,Maharashtra,Budget
C00358,2023-12-18,Chennai,Tamil Nadu,Value
C00359,2023-04-11,Lucknow,Uttar Pradesh,Budget
C00360,2024-01-03,Hyderabad,Telangana,Budget
C00361,2024-05-09,Bangalore,Karnataka,Value
C00362,2024-01-19,Chennai,Tamil Nadu,Value
C00363,2023-04-23,Bangalore,Karnataka,Budget
C00364,2023-01-19,Hyderabad,Telangana,Premium
C00365,2023-10-20,Lucknow,Uttar Pradesh,Value
C00366,2023-09-08,Bangalore,Karnataka,Value
C00367,2024-02-17,Chandigarh,Punjab,Premium
C00368,2023-03-13,Jaipur,Rajasthan,Budget
C00369,2022-07-09,Delhi,Delhi,Value
C00370,2024-03-10,Mumbai,Maharashtra,Premium
C00371,2023-07-11,Mumbai,Maharashtra,Value
C00372,2023-05-06,Mumbai,Maharashtra,Value
C00373,2023-08-20,Mumbai,Maharashtra,Value
C00374,2022-07-24,Pune,Maharashtra,Value
C00375,2023-12-28,Mumbai,Maharashtra,Budget
C00376,2023-10-10,Delhi,Delhi,Premium
C00377,2022-07-30,Ahmedabad,Gujarat,Premium
C00378,2023-01-02,Mumbai,Maharashtra,Premium
C00379,2024-05-21,Kolkata,West Bengal,Value
C00380,2022-07-08,Delhi,Delhi,Budget
C00381,2024-04-05,Mumbai,Maharashtra,Budget
C00382,2023-09-21,Pune,Maharashtra,Premium
C00383,2024-01-29,Chennai,Tamil Nadu,Budget
C00384,2023-09-12,Jaipur,Rajasthan,Budget
C00385,2023-01-12,Pune,Maharashtra,Value
C00386,2022-07-27,Kolkata,West Bengal,Value
C00387,2023-09-12,Delhi,Delhi,Value
C00388,2024-05-04,Mumbai,Maharashtra,Value
C00389,2023-03-24,Kolkata,West Bengal,Value
C00390,2022-10-23,Kolkata,West Bengal,Premium
C00391,2023-01-30,Kochi,Kerala,Budget
C00392,2022-08-13,Bangalore,Karnataka,Budget
C00393,2023-12-19,Bangalore,Karnataka,Value
C00394,2023-09-09,Kolkata,West Bengal,Premium
C00395,2023-12-13,Bangalore,Karnataka,Budget
C00396,2023-04-24,Lucknow,Uttar Pradesh,Budget
C00397,2023-09-14,Ahmedabad,Gujarat,Value
C00398,2023-03-09,Bangalore,Karnataka,Value
C00399,2023-09-23,Kolkata,West Bengal,Premium
C00400,2022-11-13,Kolkata,West Bengal,Premium
C00401,2023-11-26,Mumbai,Maharashtra,Value
C00402,2023-09-16,Jaipur,Rajasthan,Value
C00403,2022-12-16,Hyderabad,Telangana,Budget
C00404,2023-02-16,Ahmedabad,Gujarat,Value
C00405,2023-02-09,Delhi,Delhi,Value
C00406,2023-06-08,Jaipur,Rajasthan,Budget
C00407,2022-09-17,Bangalore,Karnataka,Budget
C00408,2024-05-04,Mumbai,Maharashtra,Premium
C00409,2024-05-06,Jaipur,Rajasthan,Value
C00410,2022-10-09,Mumbai,Maharashtra,Value
C00411,2024-05-26,Delhi,Delhi,Budget
C00412,2022-08-04,Chandigarh,Punjab,Value
C00413,2023-03-23,Chandigarh,Punjab,Premium
C00414,2024-02-27,Hyderabad,Telangana,Budget
C00415,2022-07-08,Chennai,Tamil Nadu,Value
C00416,2023-03-27,Bangalore,Karnataka,Budget
C00417,2023-07-31,Delhi,Delhi,Value
C00418,2022-08-01,Delhi,Delhi,Premium
C00419,2023-12-30,Pune,Maharashtra,Value
C00420,2022-10-20,Kolkata,West Bengal,Premium
C00421,2024-05-11,Kolkata,West Bengal,Premium
C00422,2023-07-24,Kolkata,West Bengal,Premium
C00423,2022-10-28,Mumbai,Maharashtra,Premium
C00424,2023-05-15,Hyderabad,Telangana,Budget
C00425,2023-08-21,Mumbai,Maharashtra,Premium
C00426,2024-02-07,Hyderabad,Telangana,Budget
C00427,2023-06-22,Bangalore,Karnataka,Budget
C00428,2023-12-10,Jaipur,Rajasthan,Budget
C00429,2023-04-01,Bangalore,Karnataka,Budget
C00430,2022-08-15,Mumbai,Maharashtra,Value
C00431,2023-11-14,Mumbai,Maharashtra,Value
C00432,2022-10-03,Kolkata,West Bengal,Budget
C00433,2023-10-08,Chennai,Tamil Nadu,Value
C00434,2023-07-10,Mumbai,Maharashtra,Value
C00435,2023-03-01,Mumbai,Maharashtra,Value
C00436,2022-10-17,Pune,Maharashtra,Budget
C00437,2024-05-23,Mumbai,Maharashtra,Budget
C00438,2022-07-03,Ahmedabad,Gujarat,Budget
C00439,2023-12-23,Pune,Maharashtra,Budget
C00440,2023-10-01,Mumbai,Maharashtra,Value
C00441,2022-11-11,Mumbai,Maharashtra,Value
C00442,2023-07-12,Kochi,Kerala,Budget
C00443,2024-01-29,Bangalore,Karnataka,Budget
C00444,2022-08-10,Bangalore,Karnataka,Budget
C00445,2022-11-18,Kolkata,West Bengal,Premium
C00446,2023-01-30,Lucknow,Uttar Pradesh,Budget
C00447,2023-12-24,Kochi,Kerala,Premium
C00448,2024-04-16,Kolkata,West Bengal,Value
C00449,2024-05-08,Bangalore,Karnataka,Budget
C00450,2022-07-17,Mumbai,Maharashtra,Premium
C00451,2023-03-09,Kolkata,West Bengal,Value
C00452,2022-08-31,Hyderabad,Telangana,Value
C00453,2024-02-14,Bangalore,Karnataka,Value
C00454,2023-05-28,Jaipur,Rajasthan,Value
C00455,2023-11-15,Mumbai,Maharashtra,Budget
C00456,2023-08-15,Hyderabad,Telangana,Budget
C00457,2024-04-26,Mumbai,Maharashtra,Premium
C00458,2024-03-26,Bangalore,Karnataka,Premium
C00459,2024-03-10,Mumbai,Maharashtra,Budget
C00460,2023-05-13,Mumbai,Maharashtra,Value
C00461,2024-06-19,Mumbai,Maharashtra,Value
C00462,2022-09-12,Chennai,Tamil Nadu,Budget
C00463,2023-11-23,Pune,Maharashtra,Value
C00464,2023-05-06,Chennai,Tamil Nadu,Value
C00465,2024-06-11,Chandigarh,Punjab,Value
C00466,2023-02-22,Bangalore,Karnataka,Premium
C00467,2023-11-30,Delhi,Delhi,Budget
C00468,2024-02-09,Ahmedabad,Gujarat,Value
C00469,2023-02-28,Delhi,Delhi,Value
C00470,2023-07-28,Chandigarh,Punjab,Value
C00471,2024-03-12,Mumbai,Maharashtra,Budget
C00472,2023-06-16,Chandigarh,Punjab,Value
C00473,2024-04-15,Mumbai,Maharashtra,Premium
C00474,2022-09-05,Jaipur,Rajasthan,Budget
C00475,2024-04-07,Hyderabad,Telangana,Value
C00476,2023-07-07,Kochi,Kerala,Premium
C00477,2023-03-06,Mumbai,Maharashtra,Budget
C00478,2023-03-16,Hyderabad,Telangana,Premium
C00479,2024-04-17,Chandigarh,Punjab,Budget
C00480,2024-06-01,Hyderabad,Telangana,Budget
C00481,2023-07-08,Chennai,Tamil Nadu,Budget
C00482,2023-08-13,Pune,Maharashtra,Budget
C00483,2024-01-16,Bangalore,Karnataka,Budget
C00484,2023-09-23,Chennai,Tamil Nadu,Value
C00485,2023-11-25,Chennai,Tamil Nadu,Budget
C00486,2023-10-04,Jaipur,Rajasthan,Premium
C00487,2022-07-21,Mumbai,Maharashtra,Value
C00488,2023-07-01,Delhi,Delhi,Value
C00489,2024-03-11,Chandigarh,Punjab,Value
C00490,2023-01-24,Jaipur,Rajasthan,Value
C00491,2022-12-08,Bangalore,Karnataka,Value
C00492,2022-08-02,Chennai,Tamil Nadu,Budget
C00493,2023-07-04,Delhi,Delhi,Premium
C00494,2023-09-18,Delhi,Delhi,Value
C00495,2024-05-08,Bangalore,Karnataka,Budget
C00496,2023-11-02,Bangalore,Karnataka,Value
C00497,2024-01-31,Chennai,Tamil Nadu,Value
C00498,2024-01-15,Mumbai,Maharashtra,Budget
C00499,2024-03-15,Chandigarh,Punjab,Premium
C00500,2023-07-30,Kochi,Kerala,Value
C00501,2024-05-27,Pune,Maharashtra,Value
C00502,2022-07-09,Hyderabad,Telangana,Value
C00503,2023-07-28,Delhi,Delhi,Premium
C00504,2024-02-22,Kolkata,West Bengal,Budget
C00505,2024-05-04,Pune,Maharashtra,Value
C00506,2023-02-27,Mumbai,Maharashtra,Budget
C00507,2022-08-28,Lucknow,Uttar Pradesh,Value
C00508,2022-08-31,Ahmedabad,Gujarat,Budget
C00509,2024-01-24,Lucknow,Uttar Pradesh,Budget
C00510,2023-08-08,Pune,Maharashtra,Premium
C00511,2022-12-22,Chennai,Tamil Nadu,Value
C00512,2023-06-30,Bangalore,Karnataka,Budget
C00513,2023-07-24,Lucknow,Uttar Pradesh,Value
C00514,2023-08-25,Ahmedabad,Gujarat,Value
C00515,2022-10-06,Mumbai,Maharashtra,Budget
C00516,2023-12-01,Mumbai,Maharashtra,Budget
C00517,2024-01-26,Bangalore,Karnataka,Premium
C00518,2024-01-20,Kolkata,West Bengal,Value
C00519,2023-09-24,Kochi,Kerala,Budget
