product_id,category,subcategory,base_price
P00058,Fashion,Footwear,7355
P00059,Home & Kitchen,Decor,1539
P00060,Grocery,Snacks,1993
P00061,Grocery,Beverages,462
P00062,Fashion,Men's Clothing,6803
P00063,Electronics,Cameras,63893
P00064,Electronics,Laptops,28707
P00065,Grocery,Snacks,1683
P00066,Books,Non-Fiction,2551
P00067,Electronics,Audio,14500
P00068,Books,Children's,1818
P00069,Electronics,Accessories,64594
P00070,Grocery,Snacks,1404
P00071,Electronics,Accessories,73161
P00072,Home & Kitchen,Cookware,851
P00073,Electronics,Laptops,56195
P00074,Electronics,Smartphones,75831
P00075,Home & Kitchen,Decor,14156
P00076,Grocery,Personal Care,1139
P00077,Fashion,Footwear,1668
P00078,Home & Kitchen,Cookware,24702
P00079,Grocery,Snacks,1767
P00080,Electronics,Cameras,39632
P00081,Home & Kitchen,Decor,7830
P00082,Fashion,Women's Clothing,4025
P00083,Home & Kitchen,Appliances,2393
P00084,Home & Kitchen,Appliances,5931
P00085,Fashion,Watches,1907
P00086,Electronics,Laptops,42353
P00087,Home & Kitchen,Decor,167
P00088,Fashion,Women's Clothing,7360
P00089,Fashion,Women's Clothing,1771
P00090,Electronics,Cameras,10874
P00091,Grocery,Beverages,1442
P00092,Electronics,Cameras,73543
P00093,Fashion,Watches,6785
P00094,Home & Kitchen,Appliances,8191
P00095,Electronics,Accessories,2242
P00096,Electronics,Laptops,47135
P00097,Grocery,Snacks,1837
P00098,Grocery,Personal Care,1556
P00099,Fashion,Men's Clothing,6803
P00100,Fashion,Men's Clothing,6913
P00101,Fashion,Men's Clothing,7692
P00102,Electronics,Laptops,30200
P00103,Fashion,Women's Clothing,7547
P00104,Home & Kitchen,Appliances,9981
P00105,Fashion,Men's Clothing,988
P00106,Home & Kitchen,Appliances,7649
P00107,Electronics,Audio,11348
P00108,Fashion,Watches,1429
P00109,Grocery,Beverages,1899
P00110,Electronics,Cameras,63451
P00111,Electronics,Smartphones,76873
P00112,Electronics,Smartphones,52110
P00113,Home & Kitchen,Decor,4479
P00114,Electronics,Accessories,77515
P00115,Books,Fiction,2111
P00116,Fashion,Footwear,7445
P00117,Books,Children's,2382
P00118,Electronics,Laptops,18247
P00119,Grocery,Personal Care,1190
P00120,Grocery,Staples,375
P00121,Fashion,Footwear,2593
P00122,Grocery,Snacks,1386
P00123,Grocery,Staples,281
P00124,Electronics,Accessories,58442
P00125,Grocery,Snacks,1899
P00126,Grocery,Snacks,1899
P00127,Fashion,Footwear,3254
P00128,Grocery,Snacks,1989
P00129,Fashion,Men's Clothing,7728
P00130,Home & Kitchen,Decor,955
P00131,Electronics,Audio,48390
P00132,Electronics,Smartphones,73723
P00133,Fashion,Men's Clothing,7747
P00134,Books,Academic,741
P00135,Fashion,Footwear,4611
P00136,Electronics,Laptops,74967
P00137,Fashion,Men's Clothing,1297
P00138,Fashion,Women's Clothing,6014
P00139,Books,Fiction,790
P00140,Electronics,Smartphones,78599
P00141,Books,Children's,587
P00142,Books,Fiction,2667
P00143,Grocery,Snacks,205
P00144,Electronics,Laptops,56863
P00145,Grocery,Personal Care,1289
P00146,Home & Kitchen,Furniture,22183
P00147,Fashion,Footwear,3684
P00148,Books,Children's,869
P00149,Electronics,Laptops,20338
P00150,Fashion,Women's Clothing,729
P00151,Books,Academic,844
P00152,Grocery,Personal Care,243
P00153,Grocery,Beverages,33
P00154,Electronics,Audio,31182
P00155,Home & Kitchen,Appliances,18355
P00156,Fashion,Men's Clothing,7759
P00157,Home & Kitchen,Furniture,22131
P00158,Home & Kitchen,Furniture,12403
P00159,Electronics,Smartphones,30608
P00160,Fashion,Footwear,4459
P00161,Fashion,Men's Clothing,991
P00162,Electronics,Cameras,38619
P00163,Electronics,Cameras,69192
P00164,Electronics,Laptops,52252
P00165,Grocery,Snacks,1384
P00166,Home & Kitchen,Cookware,4192
P00167,Fashion,Men's Clothing,775
P00168,Grocery,Staples,1696
P00169,Electronics,Laptops,23945
P00170,Grocery,Staples,658
P00171,Grocery,Staples,1905
P00172,Home & Kitchen,Decor,1994
P00173,Home & Kitchen,Cookware,4377
P00174,Electronics,Cameras,30349
P00175,Home & Kitchen,Furniture,18340
P00176,Electronics,Accessories,43990
P00177,Home & Kitchen,Appliances,22468
P00178,Books,Non-Fiction,370
P00179,Fashion,Women's Clothing,4833
P00180,Electronics,Cameras,49285
P00181,Electronics,Cameras,38878
P00182,Electronics,Audio,2964
P00183,Fashion,Women's Clothing,7551
P00184,Home & Kitchen,Appliances,4250
P00185,Home & Kitchen,Appliances,22260
P00186,Grocery,Snacks,339
P00187,Electronics,Smartphones,8550
P00188,Books,Fiction,696
P00189,Home & Kitchen,Appliances,4871
P00190,Fashion,Footwear,5638
P00191,Home & Kitchen,Appliances,18093
P00192,Grocery,Personal Care,1468
P00193,Grocery,Personal Care,553
P00194,Books,Fiction,916
P00195,Home & Kitchen,Cookware,6053
P00196,Electronics,Smartphones,4446
P00197,Electronics,Audio,45956
P00198,Electronics,Accessories,67268
P00199,Fashion,Men's Clothing,1398
P00200,Fashion,Women's Clothing,3014
P00201,Fashion,Women's Clothing,3535
P00202,Electronics,Laptops,23917
P00203,Electronics,Cameras,53131
P00204,Home & Kitchen,Appliances,15065
P00205,Home & Kitchen,Furniture,5112
P00206,Fashion,Watches,401
P00207,Fashion,Women's Clothing,1532
P00208,Home & Kitchen,Decor,7402
P00209,Electronics,Audio,7014
P00210,Fashion,Women's Clothing,6781
P00211,Home & Kitchen,Cookware,7813
P00212,Grocery,Personal Care,813
P00213,Electronics,Cameras,39383
P00214,Electronics,Smartphones,53053
P00215,Electronics,Smartphones,7745
P00216,Grocery,Staples,1102
P00217,Grocery,Staples,394
P00218,Electronics,Laptops,70897
P00219,Electronics,Laptops,29867
P00220,Grocery,Personal Care,908
P00221,Fashion,Watches,2254
P00222,Books,Children's,1449
P00223,Fashion,Women's Clothing,1965
P00224,Fashion,Watches,2295
P00225,Fashion,Men's Clothing,681
P00226,Home & Kitchen,Furniture,18843
P00227,Grocery,Personal Care,1345
P00228,Home & Kitchen,Cookware,2280
P00229,Fashion,Watches,2882
P00230,Grocery,Beverages,1097
P00231,Electronics,Audio,77671
P00232,Grocery,Beverages,1192
P00233,Electronics,Audio,44511
P00234,Electronics,Cameras,67343
P00235,Books,Children's,2473
P00236,Grocery,Snacks,855
P00237,Home & Kitchen,Furniture,13458
P00238,Electronics,Accessories,69418
P00239,Fashion,Women's Clothing,3904
P00240,Home & Kitchen,Cookware,22059
P00241,Fashion,Men's Clothing,3915
P00242,Electronics,Accessories,6777
P00243,Fashion,Men's Clothing,7242
P00244,Fashion,Men's Clothing,5772
P00245,Books,Children's,1556
P00246,Fashion,Women's Clothing,7224
P00247,Books,Fiction,2421
P00248,Books,Fiction,2065
P00249,Fashion,Women's Clothing,5038
P00250,Books,Fiction,449
P00251,Grocery,Staples,1522
P00252,Home & Kitchen,Furniture,4446
P00253,Home & Kitchen,Appliances,24612
P00254,Electronics,Smartphones,77787
P00255,Home & Kitchen,Furniture,20240
P00256,Fashion,Men's Clothing,1184
P00257,Grocery,Staples,864
P00258,Fashion,Watches,7909
P00259,Grocery,Beverages,888
P00260,Electronics,Accessories,79783
P00261,Fashion,Women's Clothing,5092
P00262,Grocery,Beverages,1673
P00263,Electronics,Laptops,21002
P00264,Grocery,Beverages,1824
P00265,Home & Kitchen,Appliances,22867
P00266,Electronics,Laptops,5827
P00267,Grocery,Beverages,795
P00268,Grocery,Personal Care,813
P00269,Home & Kitchen,Decor,8254
P00270,Grocery,Staples,574
P00271,Fashion,Men's Clothing,3774
P00272,Fashion,Watches,7013
P00273,Books,Fiction,2381
P00274,Fashion,Men's Clothing,5060
P00275,Fashion,Women's Clothing,4276
P00276,Books,Academic,1317
P00277,Electronics,Laptops,33448
P00278,Electronics,Accessories,12282
P00279,Books,Fiction,1805
P00280,Grocery,Snacks,1524
P00281,Fashion,Footwear,7529
P00282,Electronics,Accessories,74032
P00283,Fashion,Women's Clothing,4589
P00284,Fashion,Watches,988
P00285,Fashion,Footwear,2432
P00286,Fashion,Men's Clothing,4378
P00287,Fashion,Footwear,2882
P00288,Books,Fiction,1292
P00289,Books,Non-Fiction,1211
P00290,Electronics,Accessories,39104
P00291,Electronics,Smartphones,48912
P00292,Books,Fiction,209
P00293,Fashion,Women's Clothing,2348
P00294,Grocery,Beverages,313
P00295,Home & Kitchen,Decor,15275
P00296,Fashion,Women's Clothing,5611
P00297,Electronics,Accessories,3583
P00298,Home & Kitchen,Furniture,22256
P00299,Home & Kitchen,Decor,8388
P00300,Electronics,Cameras,19388
P00301,Home & Kitchen,Appliances,18682
P00302,Home & Kitchen,Decor,23033
P00303,Electronics,Smartphones,71814
P00304,Electronics,Smartphones,2109
P00305,Fashion,Watches,6576
P00306,Home & Kitchen,Decor,7681
P00307,Fashion,Men's Clothing,2387
P00308,Fashion,Men's Clothing,4035
P00309,Electronics,Accessories,55847
P00310,Fashion,Women's Clothing,966
P00311,Books,Academic,2620
P00312,Home & Kitchen,Furniture,3489
P00313,Grocery,Personal Care,1949
P00314,Home & Kitchen,Appliances,11161
P00315,Fashion,Men's Clothing,6641
P00316,Grocery,Staples,561
P00317,Home & Kitchen,Cookware,10507
P00318,Fashion,Women's Clothing,5235
P00319,Home & Kitchen,Cookware,4820
P00320,Grocery,Beverages,446
P00321,Grocery,Snacks,1653
P00322,Electronics,Audio,59405
P00323,Home & Kitchen,Furniture,19023
P00324,Home & Kitchen,Cookware,21700
P00325,Electronics,Accessories,65771
P00326,Grocery,Beverages,1045
P00327,Home & Kitchen,Cookware,4100
P00328,Home & Kitchen,Decor,7881
P00329,Electronics,Laptops,40790
P00330,Grocery,Snacks,297
P00331,Electronics,Smartphones,68178
P00332,Fashion,Footwear,7059
P00333,Fashion,Watches,426
P00334,Electronics,Cameras,15825
P00335,Fashion,Women's Clothing,6697
P00336,Home & Kitchen,Furniture,20949
P00337,Home & Kitchen,Furniture,6350
P00338,Fashion,Women's Clothing,3760
P00339,Fashion,Watches,7361
P00340,Home & Kitchen,Cookware,17660
P00341,Electronics,Laptops,22281
P00342,Home & Kitchen,Decor,20614
P00343,Fashion,Watches,4140
P00344,Books,Non-Fiction,1943
P00345,Grocery,Beverages,274
P00346,Electronics,Laptops,2930
P00347,Electronics,Smartphones,30111
P00348,Electronics,Audio,47726
P00349,Grocery,Staples,380
P00350,Fashion,Watches,6990
P00351,Electronics,Laptops,47157
P00352,Electronics,Laptops,28306
P00353,Fashion,Watches,1475
P00354,Fashion,Footwear,7177
P00355,Books,Academic,2272
P00356,Grocery,Snacks,1387
P00357,Home & Kitchen,Furniture,7234
P00358,Electronics,Smartphones,31232
P00359,Fashion,Women's Clothing,1471
P00360,Home & Kitchen,Appliances,14371
P00361,Fashion,Footwear,7726
P00362,Grocery,Beverages,1719
P00363,Grocery,Staples,1305
P00364,Grocery,Beverages,1365
P00365,Grocery,Beverages,560
P00366,Grocery,Personal Care,837
P00367,Electronics,Cameras,2094
P00368,Grocery,Beverages,1567
P00369,Electronics,Smartphones,61522
P00370,Fashion,Men's Clothing,269
P00371,Home & Kitchen,Decor,22801
P00372,Grocery,Snacks,1305
P00373,Books,Academic,1843
P00374,Electronics,Smartphones,1173
P00375,Books,Fiction,832
P00376,Grocery,Personal Care,1616
P00377,Fashion,Footwear,2583
P00378,Home & Kitchen,Decor,24181
P00379,Books,Children's,1964
P00380,Home & Kitchen,Cookware,10682
P00381,Electronics,Audio,30430
P00382,Electronics,Cameras,28222
P00383,Electronics,Laptops,20534
P00384,Home & Kitchen,Decor,11747
P00385,Home & Kitchen,Cookware,16978
P00386,Grocery,Personal Care,1654
P00387,Grocery,Staples,812
P00388,Grocery,Snacks,232
P00389,Fashion,Footwear,4190
P00390,Grocery,Personal Care,1335
P00391,Books,Fiction,2546
P00392,Home & Kitchen,Decor,9450
P00393,Home & Kitchen,Decor,16236
P00394,Electronics,Smartphones,48919
P00395,Fashion,Footwear,2528
P00396,Fashion,Footwear,1043
P00397,Fashion,Watches,698
P00398,Fashion,Footwear,7909
P00399,Grocery,Personal Care,1292
P00400,Home & Kitchen,Decor,21558
P00401,Home & Kitchen,Furniture,6640
P00402,Electronics,Laptops,57032
P00403,Electronics,Audio,71444
P00404,Fashion,Watches,2531
P00405,Home & Kitchen,Furniture,3876
P00406,Home & Kitchen,Decor,19172
P00407,Fashion,Watches,7218
P00408,Fashion,Men's Clothing,6482
P00409,Electronics,Accessories,64288
P00410,Electronics,Accessories,48203
P00411,Electronics,Laptops,53012
P00412,Fashion,Watches,5510
P00413,Grocery,Beverages,1451
P00414,Electronics,Audio,52604
P00415,Fashion,Watches,7980
P00416,Fashion,Watches,2224
P00417,Fashion,Women's Clothing,3465
P00418,Fashion,Watches,3229
P00419,Fashion,Women's Clothing,475
P00420,Home & Kitchen,Cookware,17746
P00421,Home & Kitchen,Decor,14365
P00422,Electronics,Cameras,15598
P00423,Fashion,Footwear,5867
P00424,Grocery,Staples,468
P00425,Fashion,Women's Clothing,4370
P00426,Electronics,Accessories,62899
P00427,Fashion,Women's Clothing,7271
P00428,Electronics,Laptops,53914
P00429,Fashion,Women's Clothing,4157
P00430,Fashion,Men's Clothing,6794
P00431,Grocery,Staples,1686
P00432,Fashion,Women's Clothing,7037
P00433,Electronics,Audio,14900
P00434,Grocery,Staples,222
P00435,Grocery,Personal Care,282
P00436,Electronics,Audio,21063
P00437,Electronics,Cameras,64763
P00438,Electronics,Laptops,61152
P00439,Electronics,Audio,15054
P00440,Books,Children's,2071
P00441,Electronics,Audio,27183
P00442,Home & Kitchen,Furniture,2369
P00443,Fashion,Women's Clothing,2971
P00444,Grocery,Staples,1496
P00445,Fashion,Men's Clothing,2595
P00446,Grocery,Personal Care,1583
P00447,Grocery,Snacks,683
P00448,Fashion,Women's Clothing,2232
P00449,Electronics,Cameras,23877
P00450,Books,Children's,2569
P00451,Books,Fiction,1465
P00452,Electronics,Cameras,69378
P00453,Electronics,Laptops,46894
P00454,Grocery,Staples,1890
P00455,Books,Children's,307
P00456,Grocery,Snacks,1782
P00457,Home & Kitchen,Appliances,12587
P00458,Fashion,Footwear,6966
P00459,Electronics,Audio,30843
P00460,Electronics,Cameras,24219
P00461,Fashion,Watches,622
P00462,Home & Kitchen,Appliances,21378
P00463,Electronics,Laptops,11421
P00464,Grocery,Personal Care,425
P00465,Home & Kitchen,Appliances,10318
P00466,Fashion,Footwear,4641
P00467,Fashion,Women's Clothing,7272
P00468,Fashion,Footwear,3769
P00469,Grocery,Personal Care,653
P00470,Home & Kitchen,Furniture,17934
P00471,Books,Academic,2359
P00472,Home & Kitchen,Appliances,12266
P00473,Fashion,Men's Clothing,5122
P00474,Electronics,Accessories,14558
P00475,Electronics,Laptops,50943
P00476,Electronics,Accessories,875
P00477,Fashion,Footwear,2334
P00478,Fashion,Footwear,6137
P00479,Home & Kitchen,Cookware,4340
P00480,Electronics,Laptops,61276
P00481,Electronics,Laptops,39421
P00482,Fashion,Women's Clothing,6156
P00483,Home & Kitchen,Appliances,2338
P00484,Electronics,Laptops,49351
P00485,Electronics,Laptops,50862
P00486,Grocery,Staples,825
P00487,Fashion,Watches,7730
P00488,Books,Children's,1212
P00489,Fashion,Footwear,494
P00490,Books,Children's,678
P00491,Books,Children's,1182
P00492,Electronics,Smartphones,1619
P00493,Fashion,Women's Clothing,2713
P00494,Fashion,Watches,6699
P00495,Fashion,Watches,1686
P00496,Electronics,Cameras,54301
P00497,Home & Kitchen,Cookware,15723
P00498,Electronics,Cameras,20281
P00499,Home & Kitchen,Appliances,17384
P00500,Grocery,Personal Care,708
P00501,Fashion,Men's Clothing,1206
P00502,Grocery,Beverages,786
P00503,Books,Academic,1807
P00504,Fashion,Watches,1503
P00505,Electronics,Audio,65996
P00506,Fashion,Women's Clothing,2526
P00507,Fashion,Watches,2468
P00508,Electronics,Laptops,58363
P00509,Grocery,Beverages,1205
P00510,Fashion,Watches,2835
P00511,Grocery,Personal Care,1779
P00512,Electronics,Smartphones,79640
P00513,Home & Kitchen,Appliances,8667
P00514,Fashion,Footwear,7231
P00515,Grocery,Personal Care,738
P00516,Electronics,Laptops,15480
P00517,Home & Kitchen,Appliances,23710
P00518,Fashion,Women's Clothing,7362
P00519,Books,Fiction,1270
P00520,Fashion,Watches,1982
P00521,Electronics,Cameras,58310
P00522,Grocery,Staples,288
P00523,Grocery,Staples,1476
P00524,Fashion,Watches,4800
P00525,Home & Kitchen,Furniture,4349
P00526,Fashion,Watches,3059
P00527,Electronics,Laptops,52218
P00528,Electronics,Smartphones,3470
P00529,Home & Kitchen,Decor,21932
P00530,Fashion,Watches,2195
P00531,Grocery,Beverages,1083
P00532,Electronics,Laptops,4363
P00533,Fashion,Watches,7959
P00534,Grocery,Beverages,1334
P00535,Fashion,Footwear,5298
P00536,Books,Children's,157
P00537,Grocery,Beverages,1389
P00538,Books,Children's,1309
P00539,Electronics,Accessories,30730
P00540,Books,Fiction,1687
P00541,Grocery,Personal Care,965
P00542,Fashion,Men's Clothing,1394
P00543,Home & Kitchen,Cookware,17426
P00544,Grocery,Beverages,1272
P00545,Grocery,Snacks,623
P00546,Electronics,Smartphones,53102
P00547,Grocery,Staples,1335
P00548,Fashion,Men's Clothing,2306
P00549,Fashion,Women's Clothing,4924
P00550,Books,Non-Fiction,498
P00551,Electronics,Smartphones,66537
P00552,Home & Kitchen,Furniture,2757
P00553,Fashion,Women's Clothing,5806
P00554,Electronics,Laptops,9860
P00555,Home & Kitchen,Appliances,2983
P00556,Grocery,Staples,239
P00557,Fashion,Women's Clothing,1749
P00558,Fashion,Watches,1758
P00559,Fashion,Footwear,2251
P00560,Electronics,Accessories,42090
P00561,Home & Kitchen,Furniture,5162
P00562,Electronics,Cameras,56423
P00563,Home & Kitchen,Cookware,7489
P00564,Home & Kitchen,Furniture,1129
P00565,Books,Academic,1539
P00566,Electronics,Smartphones,17012
P00567,Fashion,Men's Clothing,7478
P00568,Grocery,Beverages,681
P00569,Home & Kitchen,Appliances,218
P00570,Electronics,Audio,53895
P00571,Home & Kitchen,Furniture,22686
P00572,Electronics,Smartphones,66901
P00573,Fashion,Women's Clothing,5418
P00574,Electronics,Smartphones,12357
P00575,Electronics,Accessories,7662
P00576,Home & Kitchen,Cookware,12866
P00577,Electronics,Cameras,58023
P00578,Grocery,Staples,230
P00579,Electronics,Accessories,20843
P00580,Home & Kitchen,Appliances,5894
P00581,Home & Kitchen,Decor,24718
P00582,Grocery,Staples,613
P00583,Home & Kitchen,Decor,11687
P00584,Grocery,Staples,227
P00585,Fashion,Watches,1563
P00586,Fashion,Watches,508
P00587,Grocery,Staples,602
P00588,Fashion,Watches,6452
P00589,Electronics,Accessories,25360
P00590,Electronics,Audio,59214
P00591,Grocery,Snacks,217
P00592,Fashion,Watches,6114
P00593,Books,Non-Fiction,233
P00594,Fashion,Footwear,6846
P00595,Electronics,Cameras,53237
P00596,Fashion,Watches,1530
P00597,Grocery,Personal Care,734
P00598,Fashion,Watches,3614
P00599,Grocery,Beverages,1255
P00600,Electronics,Accessories,70339
P00601,Home & Kitchen,Furniture,2460
P00602,Books,Fiction,2463
P00603,Electronics,Accessories,15038
P00604,Grocery,Personal Care,820
P00605,Electronics,Laptops,77004
P00606,Electronics,Audio,22111
P00607,Electronics,Cameras,31164
P00608,Fashion,Watches,6835
P00609,Home & Kitchen,Decor,20027
P00610,Home & Kitchen,Cookware,16274
P00611,Electronics,Audio,63854
P00612,Fashion,Footwear,1082
P00613,Electronics,Laptops,55846
P00614,Fashion,Watches,657
P00615,Grocery,Snacks,1887
P00616,Home & Kitchen,Decor,4111
P00617,Home & Kitchen,Decor,10488
P00618,Electronics,Accessories,47465
P00619,Grocery,Beverages,1610
P00620,Fashion,Footwear,5491
P00621,Fashion,Men's Clothing,1614
P00622,Electronics,Cameras,30690
P00623,Electronics,Laptops,29009
P00624,Home & Kitchen,Cookware,866
P00625,Electronics,Laptops,54915
P00626,Home & Kitchen,Appliances,20988
P00627,Electronics,Audio,77889
P00628,Fashion,Women's Clothing,1219
P00629,Home & Kitchen,Appliances,23022
P00630,Electronics,Audio,9479
P00631,Books,Children's,1293
P00632,Grocery,Staples,121
P00633,Electronics,Smartphones,21298
P00634,Home & Kitchen,Decor,7959
P00635,Books,Non-Fiction,2143
P00636,Electronics,Audio,54395
P00637,Home & Kitchen,Furniture,19223
P00638,Books,Academic,1772
P00639,Electronics,Cameras,45418
P00640,Electronics,Accessories,78243
P00641,Grocery,Personal Care,1350
P00642,Books,Academic,1081
P00643,Grocery,Personal Care,1061
P00644,Fashion,Footwear,5665
P00645,Electronics,Accessories,8072
P00646,Books,Children's,2019
P00647,Electronics,Accessories,20262
P00648,Electronics,Accessories,27987
P00649,Fashion,Footwear,5475
P00650,Fashion,Women's Clothing,3202
P00651,Electronics,Smartphones,67203
P00652,Electronics,Laptops,44888
P00653,Electronics,Accessories,79029
P00654,Electronics,Smartphones,4838
P00655,Books,Non-Fiction,1966
P00656,Electronics,Laptops,12976
P00657,Home & Kitchen,Furniture,21244
P00658,Home & Kitchen,Appliances,21319
P00659,Grocery,Beverages,1743
P00660,Grocery,Beverages,177
P00661,Fashion,Men's Clothing,4035
P00662,Grocery,Snacks,505
P00663,Home & Kitchen,Decor,24258
P00664,Home & Kitchen,Furniture,1401
P00665,Electronics,Accessories,18205
P00666,Electronics,Laptops,51644
P00667,Fashion,Footwear,3346
P00668,Electronics,Smartphones,19182
P00669,Books,Non-Fiction,1431
P00670,Fashion,Footwear,6450
P00671,Electronics,Smartphones,36124
P00672,Grocery,Staples,1717
P00673,Fashion,Footwear,3687
P00674,Electronics,Laptops,9937
P00675,Electronics,Audio,40041
P00676,Electronics,Smartphones,52443
P00677,Grocery,Staples,232
P00678,Home & Kitchen,Decor,10397
P00679,Books,Children's,1716
P00680,Grocery,Personal Care,30
P00681,Grocery,Personal Care,209
P00682,Electronics,Accessories,48534
P00683,Electronics,Laptops,49716
P00684,Fashion,Men's Clothing,2576
P00685,Home & Kitchen,Decor,12782
P00686,Fashion,Watches,1813
P00687,Electronics,Smartphones,53882
P00688,Books,Fiction,2856
P00689,Fashion,Watches,3034
P00690,Electronics,Audio,4815
P00691,Grocery,Staples,469
P00692,Grocery,Staples,925
P00693,Books,Non-Fiction,1724
P00694,Home & Kitchen,Furniture,15551
P00695,Electronics,Cameras,38114
P00696,Fashion,Footwear,5326
P00697,Fashion,Men's Clothing,5784
P00698,Fashion,Women's Clothing,1089
P00699,Electronics,Smartphones,60866
P00700,Fashion,Watches,1930
P00701,Fashion,Women's Clothing,2863
P00702,Electronics,Cameras,66476
P00703,Grocery,Personal Care,1930
P00704,Electronics,Audio,23713
P00705,Electronics,Audio,41998
P00706,Books,Academic,2136
P00707,Grocery,Personal Care,120
P00708,Grocery,Beverages,353
P00709,Fashion,Men's Clothing,1296
P00710,Electronics,Cameras,57490
P00711,Electronics,Smartphones,57864
P00712,Electronics,Laptops,9003
P00713,Grocery,Snacks,1233
P00714,Electronics,Accessories,15410
P00715,Fashion,Men's Clothing,7456
P00716,Electronics,Laptops,31735
P00717,Electronics,Laptops,36835
P00718,Fashion,Women's Clothing,6295
P00719,Grocery,Staples,1442
P00720,Books,Non-Fiction,413
P00721,Fashion,Men's Clothing,3433
P00722,Grocery,Personal Care,1855
P00723,Electronics,Audio,67079
P00724,Grocery,Personal Care,1190
P00725,Fashion,Footwear,6223
P00726,Electronics,Smartphones,36315
P00727,Fashion,Women's Clothing,5336
P00728,Fashion,Footwear,7658
P00729,Fashion,Footwear,1250
P00730,Grocery,Personal Care,1013
P00731,Electronics,Smartphones,42664
P00732,Home & Kitchen,Furniture,1357
P00733,Fashion,Footwear,7495
P00734,Electronics,Cameras,67186
P00735,Books,Non-Fiction,1501
P00736,Fashion,Watches,4165
P00737,Books,Fiction,2771
P00738,Electronics,Cameras,14588
P00739,Electronics,Laptops,46495
P00740,Grocery,Snacks,1469
P00741,Books,Academic,472
P00742,Electronics,Laptops,31299
P00743,Home & Kitchen,Cookware,15074
P00744,Electronics,Smartphones,70674
P00745,Home & Kitchen,Furniture,12677
P00746,Grocery,Beverages,788
P00747,Home & Kitchen,Decor,24491
P00748,Fashion,Watches,7344
P00749,Books,Fiction,2311
P00750,Fashion,Watches,2334
P00751,Fashion,Footwear,7716
P00752,Books,Children's,2914
P00753,Electronics,Accessories,36501
P00754,Grocery,Personal Care,293
P00755,Grocery,Personal Care,843
P00756,Electronics,Smartphones,56151
P00757,Fashion,Men's Clothing,6038
P00758,Fashion,Watches,2532
P00759,Home & Kitchen,Decor,17582
P00760,Fashion,Footwear,6914
P00761,Fashion,Men's Clothing,5753
P00762,Grocery,Staples,1873
P00763,Fashion,Women's Clothing,5134
P00764,Fashion,Men's Clothing,1767
P00765,Grocery,Beverages,1260
P00766,Fashion,Men's Clothing,2467
P00767,Electronics,Laptops,27951
P00768,Home & Kitchen,Appliances,16858
P00769,Electronics,Cameras,78516
P00770,Books,Children's,1985
P00771,Grocery,Beverages,1918
P00772,Electronics,Laptops,40560
P00773,Electronics,Cameras,55698
P00774,Electronics,Audio,26129
P00775,Home & Kitchen,Appliances,3018
P00776,Home & Kitchen,Cookware,8903
P00777,Electronics,Audio,38689
P00778,Grocery,Beverages,1154
P00779,Books,Children's,2035
P00780,Home & Kitchen,Decor,10524
P00781,Grocery,Beverages,1503
P00782,Electronics,Smartphones,67390
P00783,Books,Non-Fiction,929
P00784,Home & Kitchen,Decor,21205
P00785,Fashion,Watches,6505
P00786,Fashion,Watches,4277
P00787,Electronics,Accessories,2509
P00788,Grocery,Personal Care,316
P00789,Electronics,Cameras,53785
P00790,Books,Fiction,680
P00791,Home & Kitchen,Appliances,18792
P00792,Fashion,Men's Clothing,1455
